Plate	Plate.Date	Sort.Date	Production.Date	Internal.Index	External.Index	Sequencing.Dates	Amp.Batch.ID	Seq.Batch.ID	Batch.Set.ID
elf5_sc_exp3_p1	22/11/20	27/12/20	04/01/21	3	6G	210124	elf5_sc_exp3_p1	210124	elf5_sc_exp3_p1
elf5_sc_exp3_p2	22/11/20	27/12/20	04/01/21	4	6H	210124	elf5_sc_exp3_p2	210124	elf5_sc_exp3_p2
elf5_sc_exp3_p3	22/11/20	27/12/20	05/01/21	9	6B	210124	elf5_sc_exp3_p3	210124	elf5_sc_exp3_p3
elf5_sc_exp3_p4	22/11/20	27/12/20	05/01/21	10	6C	210124	elf5_sc_exp3_p4	210124	elf5_sc_exp3_p4
elf5_sc_exp3_p5	22/11/20	28/12/20	05/01/21	11	6D	210124	elf5_sc_exp3_p5	210124	elf5_sc_exp3_p5
elf5_sc_exp3_p6	22/11/20	28/12/20	05/01/21	12	6E	210124	elf5_sc_exp3_p6	210124	elf5_sc_exp3_p6
elf5_sc_exp3_p7	22/11/20	28/12/20	05/01/21	13	6F	210124	elf5_sc_exp3_p7	210124	elf5_sc_exp3_p7
elf5_sc_exp3_p8	22/11/20	28/12/20	05/01/21	14	6G	210124	elf5_sc_exp3_p8	210124	elf5_sc_exp3_p8
elf5_sc_exp3_p9	22/11/20	28/12/20	05/01/21	15	6H	210124	elf5_sc_exp3_p9	210124	elf5_sc_exp3_p9
p1_DB4GC_control_e1	10/06/20	06/07/20	24/05/21	12	12D	210616	p1_DB4GC_control_e1	210616	p1_DB4GC_control_e1
p1_DB4GC_e5_exp6	02/07/20	13/07/20	04/05/21	13	6E	210616	p1_DB4GC_e5_exp6	210616	p1_DB4GC_e5_exp6
p10_DB4GC_e1	02/07/20	06/07/20	26/05/21	21	12E	210616	p10_DB4GC_e1	210616	p10_DB4GC_e1
p2_DB4GC_control_e1_cont	02/07/20	06/07/20	24/05/21	13	12E	210616	p2_DB4GC_control_e1_cont	210616	p2_DB4GC_control_e1_cont
p2_DB4GC_e5b_exp6	02/07/20	13/07/20	04/05/21	14	6F	210616	p2_DB4GC_e5b_exp6	210616	p2_DB4GC_e5b_exp6
p3_DB4GC_control_e1_b	02/07/20	06/07/20	24/05/21	14	12F	210616	p3_DB4GC_control_e1_b	210616	p3_DB4GC_control_e1_b
p3_DB4GC_e5c_exp6	02/07/20	13/07/20	04/05/21	15	6G	210616	p3_DB4GC_e5c_exp6	210616	p3_DB4GC_e5c_exp6
p4_DB4GC_control_e2	02/07/20	06/07/20	04/05/21	16	6H	210616	p4_DB4GC_control_e2	210616	p4_DB4GC_control_e2
p4_DB4GC_e7_exp6	02/07/20	13/07/20	03/11/20	28	5D	201214	p4_DB4GC_e7_exp6	201214	p4_DB4GC_e7_exp6
p5_DB4GC_control_e2b	02/07/20	06/07/20	24/05/21	15	12G	210616	p5_DB4GC_control_e2b	210616	p5_DB4GC_control_e2b
